spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,solving_time_feature1_2_7_10286,solving_time_feature8_2_7_10286,solving_time_feature9_1_2_10286,solving_time_feature10_1_2_8287,solving_time_feature11_2_7_4435,solving_time_feature12_2_7_4435,solving_time_amazon_micro_2_7_10286,solving_time_azure_2_7_10286,solving_time_amazon_nano_2_7_10286,solving_time_feature20_2_7_10286
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.06,0.03,0.02,0.99,0.01,0.03,0.025,0.02,0.025,0.05
1,1,0,0,0,0,0,1,0,0,0,0,0,0,5,5.01,5,5,5.01,5.01,5.01,5.01,5,5
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.01,0,0.07,0.13,0.01,0.095,0,0,0,0.07
1,0,1,0,0,0,0,1,0,0,0,0,0,0,5.01,5.02,5,5,5.01,5.01,5.02,5.02,5,5
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.02,0,0.015,0.98,0.045,0.185,0,0,0,0.05
1,1,1,0,0,0,0,1,0,0,0,0,0,0,4.96,2.07,5,5,5.01,5.01,1.98,1.96,5,5
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.02,0.005,0.065,0.12,0.065,0.205,0.01,0.01,0.01,0.08
1,0,0,1,0,0,0,1,0,0,0,0,0,0,5.02,5.02,5,5,5.02,5.03,5.02,5.02,5,5
0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.03,0.005,0.015,0.98,0.03,0.04,0.01,0.005,0.005,0.045
1,1,0,1,0,0,0,1,0,0,0,0,0,0,5.025,5.02,5,5,5.02,5.03,5.02,5.02,5,5
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.02,0.01,0.06,0.125,0.07,0.22,0.005,0.005,0.005,0.075
1,0,1,1,0,0,0,1,0,0,0,0,0,0,5.03,5.02,5,5,5.02,5.03,5.02,5.02,5.005,5
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0.025,0.01,0.015,0.965,0.03,0.04,0.01,0.01,0.015,0.045
1,1,1,1,0,0,0,1,0,0,0,0,0,0,5.025,5.02,5,5,5.02,5.03,5.02,5.02,5,5
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.15,0.07,0.04,0.085,0.305,0.07,0.07,0.07,0.06,0.055
1,0,0,0,1,0,0,1,0,0,0,0,0,0,5.01,5.01,5,5,5.02,5.02,5.01,5.015,5,0.055
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0.05,0.02,0.035,0.5,0.345,0.235,0.02,0.025,0.02,0.065
1,1,0,0,1,0,0,1,0,0,0,0,0,0,5.01,5.01,5,5,5.02,5.015,5.01,5.01,5,5.005
0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.155,0.06,0.04,0.085,0.285,0.065,0.07,0.06,0.06,0.06
1,0,1,0,1,0,0,1,0,0,0,0,0,0,5.01,5.01,5,5,5.02,5.02,5.015,5.01,5,0.05
0,1,1,0,1,0,0,1,0,0,0,0,0,0,0.055,0.02,0.03,0.505,0.34,0.23,0.02,0.02,0.02,0.06
1,1,1,0,1,0,0,1,0,0,0,0,0,0,5.02,5.01,5,5,5.02,5.02,5.01,5.01,5,5
0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.16,0.07,0.04,0.08,0.315,0.065,0.07,0.07,0.07,0.055
1,0,0,1,1,0,0,1,0,0,0,0,0,0,5.01,5.015,5,5,5.02,5.02,5.01,5.01,5,0.055
0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.055,0.02,0.03,0.505,0.355,0.225,0.02,0.02,0.02,0.06
1,1,0,1,1,0,0,1,0,0,0,0,0,0,5.015,5.015,5,5,5.02,5.02,5.01,5.01,5,5
0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.15,0.07,0.04,0.085,0.305,0.07,0.065,0.065,0.07,0.05
1,0,1,1,1,0,0,1,0,0,0,0,0,0,5.015,5.01,5,5,5.02,5.02,5.015,5.015,5,0.05
0,1,1,1,1,0,0,1,0,0,0,0,0,0,0.06,0.02,0.03,0.5,0.335,0.23,0.02,0.02,0.02,0.07
1,1,1,1,1,0,0,1,0,0,0,0,0,0,5.015,5.01,5,5,5.02,5.02,5.015,5.01,4.99,5
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.04,0.02,0.02,0.14,0.2,0.1,0.015,0.01,0.02,0
1,0,0,0,0,1,0,1,0,0,0,0,0,0,5,5,5,5,4.005,5,5,5,5,0.075
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.07,0.025,0.075,0.25,0.135,0.04,0.03,0.03,0.03,0
1,1,0,0,0,1,0,1,0,0,0,0,0,0,5,5.01,5,5,5,5,5,5,5,0.275
0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.04,0.02,0.02,0.14,0.32,0.13,0.02,0.01,0.02,0
1,0,1,0,0,1,0,1,0,0,0,0,0,0,5,5,5,5,4.015,5,5,5,5,0.075
0,1,1,0,0,1,0,1,0,0,0,0,0,0,0.07,0.025,0.07,0.255,0.14,0.04,0.02,0.02,0.03,0
1,1,1,0,0,1,0,1,0,0,0,0,0,0,5,5.005,5,5,5.01,5,5,5,4.94,0.265
0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.04,0.01,0.02,0.14,0.2,0.1,0.01,0.015,0.02,0
1,0,0,1,0,1,0,1,0,0,0,0,0,0,5,5,5,5,5,5,5.005,5,5,0.075
0,1,0,1,0,1,0,1,0,0,0,0,0,0,0.075,0.04,0.07,0.245,0.075,0.04,0.035,0.03,0.025,0
1,1,0,1,0,1,0,1,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,0.265
0,0,1,1,0,1,0,1,0,0,0,0,0,0,0.04,0.015,0.02,0.14,0.195,0.1,0.01,0.01,0.015,0
